Nom,Prix,Description,Isbn,Photo,Editeur,Categorie
La sage-femme d&#39Auschwitz,6.56,"Lorsqu&#39elle arrive à Auschwitz, sous un ciel bas et gris, Ana est persuadée qu&#39elle ne survivra pas à l&#39enfer du camp. Mais elle possède une compétence que les nazis recherchent : elle est sage-femme. Son travail sera de donner naissance aux enfants des autres prisonnières. Une mission terrible car, dès qu&#39ils ont poussé leur premier cri, les nouveau-nés sont emmenés et donnés à des familles allemandes. Malgré la détresse de ces femmes à qui on vole leurs bébés, Ana essaie d&#39apporter un peu de réconfort autour d&#39elle. Et puis un jour, elle réalise qu&#39elle peut faire plus. Secrètement, elle tatoue les petits avec les numéros de déportées de leurs mères. C&#39est une lueur d&#39espoir dans ce monde d&#39une infinie noirceur : et si, après l&#39horreur de la guerre, grâce à ce petit geste, ces enfants et leurs mères pouvaient se retrouver ?",978-2290396391,https://m.media-amazon.com/images/I/71ubMzTUUfL._SY522_.jpg,J&#39AI LU (6 mars 2024),Roman Historique
La sage-femme de Berlin,11.34,"Grâce au courage d&#39Ester et d&#39autres de ses codétenues à Auschwitz, plusieurs bébés, nés dans le camp, ont réussi à survivre. Chacun a été tatoué du numéro de déportée de sa mère. Ester a elle-même donné la vie à une petite Pippa, qui lui a été retirée au profit d&#39une famille allemande. À la libération du camp, Ester fait partie des rares rescapés. Dès lors, elle n&#39aura de cesse de retrouver son enfant. Mais au lendemain de la guerre, l&#39Europe est en proie au chaos, et l&#39histoire n&#39a pas fini de bouleverser les destinées. Plus le temps passe, plus les chances d&#39Ester de récupérer Pippa s&#39amenuisent... Parviendront-elles un jour à être réunies ?",978-2290411421,https://m.media-amazon.com/images/I/71FPJDTtexL._SY522_.jpg,J&#39AI LU (5 février 2025),Roman Historique
"Albane, T4 - Des coeurs dans la tourmente",8.78,"Juin 1943. Alors que la paix ne semble plus qu’une illusion lointaine, Albane profite d’une parenthèse de bonheur. Après des mois d’attente, elle épouse enfin Raphaël. Mais la fête tourne court, interrompue par des soldats allemands. Ils viennent d’arrêter une fillette qui affirme connaître Albane.

Il s’agit de Louisette, la fille illégitime de Louis Molinier. Touchée par le sort de cette orpheline, Albane décide de l’accueillir. L’enfant qui cache un lourd secret, rejoint ainsi le rang des opprimés et des persécutés pour qui le château est devenu un refuge.

Si les occupants du domaine mènent une existence plutôt préservée, les actions de représailles des Allemands se font de plus en plus violentes dans la région, visant aussi bien des résistants que des civils. Albane vit dans l’angoisse constante de perdre Raphaël et de donner naissance seule à leur enfant.
Mais l’espoir renaît, porté par les rumeurs d’un débarquement des Alliés sur la côte atlantique…",978-2702193037,https://m.media-amazon.com/images/I/81dcIzEJdnL._SY522_.jpg,Calmann-Lévy (19 février 2025),Roman Historique
Les Guerriers de l&#39Hiver : prix Renaudot des lycéens 2024 - prix Jean Giono 2024,10.42,Le nouveau roman événement d&#39Olivier Norek.,978-2749947204,https://m.media-amazon.com/images/I/512GdQV4FxL._SY522_.jpg,Michel Lafon; 1er édition (29 août 2024),Roman Historique
Le tatoueur d&#39Auschwitz,5.21,"L&#39histoire vraie d&#39un homme et d&#39une femme qui ont trouvé l&#39amour au coeur de l&#39enfer. Sous un ciel de plomb, des prisonniers défilent à l&#39entrée du camp d&#39Auschwitz. Bientôt, ils ne seront plus que des numéros tatoués sur le bras. C&#39est Lale, un déporté, qui est chargé de cette sinistre tâche. Il travaille le regard rivé au sol pour éviter de voir la douleur dans les yeux de ceux qu&#39il marque à jamais. Un jour, pourtant, il lève les yeux sur Gita, et la jeune femme devient sa lumière dans ce monde d&#39une noirceur infinie. Ils savent d&#39emblée qu&#39ils sont faits l&#39un pour l&#39autre. Dans cette prison où l&#39on se bat pour un morceau de pain et pour sauver sa vie, il n&#39y a pas de place pour l&#39amour. Ils doivent se contenter de minuscules moments de joie, qui leur font oublier le cauchemar du quotidien. Mais Lale fait une promesse à Gita : un jour, ils seront libres et heureux de vivre ensemble.",978-2290233795,https://m.media-amazon.com/images/I/71rslTpArCL._SY522_.jpg,J&#39ai lu (6 janvier 2021),Roman Historique
L&#39orpheline d&#39Auschwitz,16.86,"En 1945, la guerre est terminée et Auschwitz est enfin libéré. À 16 ans, Tasha franchit les grilles du camp en route vers la liberté. Elle se retourne pour regarder une dernière fois ce lieu qui lui a volé son enfance en se demandant comment elle a pu survivre à cet enfer alors que tant d&#39autres n&#39y sont pas parvenus. Mais la joie d&#39être enfin libre est ternie par l&#39absence de sa mère. Quelques semaines plus tôt, elle lui a été arrachée des bras par un officier nazi... Où a-t-il emmené sa mère ? Est-elle encore en vie ? Avec une mèche de cheveux pour seul souvenir, Tasha demande à tous ceux qu&#39elle croise s&#39ils ont vu une femme rousse. Dans le chaos d&#39une Europe en cendres, la retrouver semble impossible, pourtant Tasha a une certitude : il faut toujours garder l&#39espoir. Cet espoir qui a fait d&#39elle une survivante plus forte que toute l&#39horreur du monde.",978-2824628424,https://m.media-amazon.com/images/I/81KFWhYBIcL._SY522_.jpg,City Edition (5 février 2025),Roman Historique
Le Barman du Ritz,16.75,,978-2226479938,https://m.media-amazon.com/images/I/71mgi1nPtbL._SY522_.jpg,Albin Michel (24 avril 2024),Roman Historique
Les Armes de la lumière,12.84,Fin du xviii,978-2253071563,https://m.media-amazon.com/images/I/81xVEc87Y2L._SY522_.jpg,Le Livre de Poche (2 janvier 2025),Roman Historique
"Albane, T3 - Le Sang des justes",17.22,L’AUTEURE AUX 5 MILLIONS DE LECTRICES,978-2702182369,https://m.media-amazon.com/images/I/81iEzhtZHVL._SY522_.jpg,Calmann-Lévy (9 octobre 2024),Roman Historique
Les soeurs d&#39Auschwitz,10.99,"""Je veux que vous me promettiez et que vous promettiez chacune à vos deux soeurs de toujours veiller les unes sur les autres. Que vous ne laisserez rien vous séparer. Compris ?"" Slovaquie, 1942. Les années ont passé depuis que Livia, Cibi et Magda Meller ont fait ce serment à leur père. Car dans une Europe désormais à feu et à sang, chaque jour est un sursis pour les trois adolescentes juives. Pourtant, quand Livia est arrêtée par les nazis, Cibi tient sa promesse et suit sa soeur dans l&#39enfer d&#39Auschwitz, où elles seront bientôt rejointes par Magda. Confrontées à l&#39horreur et à la cruauté du camp, les trois soeurs vont formuler un nouveau voeu. Celui de survivre. Ensemble. Après son best-seller Le tatoueur d&#39Auschwitz, Heather Morris nous livre un nouveau roman bouleversant tiré de témoignages exceptionnels.",978-2290377963,https://m.media-amazon.com/images/I/61IsXNuS3yL._SY522_.jpg,J&#39AI LU (4 janvier 2023),Roman Historique
Les Yeux de Mona,16.83,,978-2226487162,https://m.media-amazon.com/images/I/81ug4V4yyCL._SY522_.jpg,Albin Michel (31 janvier 2024),Roman Historique
