Nom,Prix,Description,Isbn,Photo,Editeur,Categorie
Une aventure à la belle étoile: Dix jours en solo sur le chemin Stevenson,7.31,,978-2958798901,https://m.media-amazon.com/images/I/71HtoE-BeOL._SY522_.jpg,Ludovic Rocca (24 juillet 2023),Recits de voyages
Une aventure à la belle étoile: Dix jours en solo sur le chemin Stevenson,8.84,,978-2958798901,https://m.media-amazon.com/images/I/71HtoE-BeOL._SY522_.jpg,Ludovic Rocca (24 juillet 2023),Recits de voyages
Vivre d&#39aventures,9.98,"""L&#39aventure fait tomber les masques. Elle révèle. Elle nous laisse à fleur de peau, sans notre carapace. Elle nous fait vivre fort."" Sept ans seulement après s&#39être mis à courir, Mathieu Blanchard est devenu l&#39une des stars mondiales des courses d&#39endurance en montagne. Tout au long de sa préparation pour l&#39Ultra-Trail du Mont-Blanc (UTMB) édition 2022, il nous raconte, avec une sensibilité aiguisée, sa délicate reconversion, ses blessures intimes et sa capacité à en faire des forces pour atteindre ses objectifs, vivre mieux et plus fort, à sa manière.",978-2290393406,https://m.media-amazon.com/images/I/718N3vIvs9L._SY522_.jpg,J&#39AI LU (10 avril 2024),Recits de voyages
Sur le sentier des douaniers,17.4,"Certains traversent le monde pour s&#39évader, moi je suis parti marcher trois mois sur la Terre de mes ancêtres : la Bretagne. Trois mois dans mes pensées. Trois mois à goûter à l&#39hospitalité bretonne. Trois mois à vivre une aventure qui a changé ma vie... Pas de mont à gravir, ni de conditions extrêmes, juste longer l&#39océan Atlantique et mettre un pied devant l&#39autre sur 2100 kilomètres. Mon but : relier Saint-Nazaire au mont Saint-Michel par le Sentier des Douaniers (GR 34). Je n&#39avais jamais marché autant de jours. Pas de performance, ni de record à battre, simplement un chemin que j&#39ai suivi. Plus qu&#39un chemin, je dirais un cheminement. Je me suis laissé porter par mes pas, abandonnant petit à petit mon programme que je m&#39étais fixé pour lâcher prise. J&#39ai vécu une des plus belles expériences de ma vie. Une aventure inoubliable faite de rencontres, de joie, de pleurs et de moments puissants qui sont gravés dans ma mémoire. Comment ne pas être touché par l&#39accueil des Bretons et Bretonnes qui m&#39ont ouvert leur porte, mais surtout leur coeur ? J&#39ai pleuré de bonheur. C&#39était tellement bon. Je me suis senti vivant, présent, connecté à moi et à mes semblables. J&#39ai fêté la vie. Tout me rappelait la chance que j&#39avais d&#39être sur Terre. Tout m&#39émerveillait, du bruit des vagues aux chants des oiseaux, aux mille et une couleurs de la mer jusqu&#39au vent qui s&#39engouffre dans les arbres, en passant par tous les clins d&#39oeil que la vie me laissait. J&#39ai aimé tous ces hasards (étaient-ce des hasards ? ), toutes ces rencontres fortuites. Oui, la vie est belle ! Ce chemin m&#39a rappelé la chance que j&#39ai de pouvoir vivre et d&#39être là sur cette Terre. Quand tu te réveilles quotidiennement au son de la Nature, comment ne pas apprécier son existence ?",978-2957056330,https://m.media-amazon.com/images/I/71mHouFKbpL._SY522_.jpg,Editions Kapoupa; Illustrated édition (22 octobre 2024),Recits de voyages
Au coin du fjord: Les aventures d&#39une Française en Norvège,11.11,,978-8269285413,https://m.media-amazon.com/images/I/41bNn+Sd4pL._SY445_SX342_.jpg,North Press (19 mars 2023),Recits de voyages
La panthère des neiges,15.45,"""- Tesson ! Je poursuis une bête depuis six ans, dit Munier. Elle se cache sur les plateaux du Tibet. J&#39y retourne cet hiver, je t&#39emmène. - Qui est-ce ? - La panthère des neiges. Une ombre magique ! - Je pensais qu&#39elle avait disparu, dis-je. - C&#39est ce qu&#39elle fait croire."" Sylvain Tesson, invité par le photographe animalier Vincent Munier, parcourt le Tibet oriental. Il apprend l&#39art de l&#39affût dans l&#39hiver et le silence. L&#39espoir et la tension affleurent. Et si la bête ne se montrait pas ?",978-2072936494,https://m.media-amazon.com/images/I/416oebK3OqL._SY445_SX342_.jpg,FOLIO (12 août 2021),Recits de voyages
Une aventure à la belle étoile: Dix jours en solo sur le chemin Stevenson,12.98,,978-2958798901,https://m.media-amazon.com/images/I/71HtoE-BeOL._SY522_.jpg,Ludovic Rocca (24 juillet 2023),Recits de voyages
"Avant que la mémoire s&#39efface. Quelques propos maritimes: un livre d&#39Olivier de Kersauson, le testament marin du marin le plus populaire de France.",5.75,"Le "" testament marin "", d&#39un homme de mer. Olivier de Kersauson livre son expérience colossale, totale.",978-2749179308,https://m.media-amazon.com/images/I/71UXEsjmU9L._SY522_.jpg,Cherche Midi (21 novembre 2024),Recits de voyages
Dans les forêts de Sibérie: Février - juillet 2010,14.72,"""Assez tôt, j&#39ai compris que je n&#39allais pas pouvoir faire grand-chose pour changer le monde. Je me suis alors promis de m&#39installer quelque temps, seul, dans une cabane. Dans les forêts de Sibérie. J&#39ai acquis une isba de bois, loin de tout, sur les bords du lac Baïkal. Là, pendant six mois, à cinq jours de marche du premier village, perdu dans une nature démesurée, j&#39ai tâché de vivre dans la lenteur et la simplicité. Je crois y être parvenu. Deux chiens, un poêle à bois, une fenêtre ouverte sur un lac suffisent à l&#39existence. Et si la liberté consistait à posséder le temps ? Et si la richesse revenait à disposer de solitude, d&#39espace et de silence - toutes choses dont manqueront les générations futures ? Tant qu&#39il y aura des cabanes au fond des bois, rien ne sera tout à fait perdu.""",978-2072836800,https://m.media-amazon.com/images/I/81sE3iiEWNL._SY522_.jpg,Folio (7 février 2019),Recits de voyages
Les routes de la soif: Voyage aux sources de la mer d&#39Aral,19.57,"Partant de la mer d’Aral presque asséchée, Cédric Gras est remonté aux sources du mythique fleuve Amou-Daria. À travers les républiques ex-soviétiques d’Ouzbékistan, du Turkménistan ou du Tadjikistan, il a pêché avec des braconniers, rencontré les ramasseuses de coton et admiré les cités des routes de la soie. Là un dictateur fantasque a fait bâtir une capitale de marbre dans les sables. Ailleurs, un président érige des barrages records. Plus loin les Talibans creusent un canal qui achève de saigner le fleuve. Dans le terrible désert du Karakoum, la Sécurité d’État a entravé son voyage, mais il est parvenu, au terme d’un voyage de 2 500 kilomètres, au plus long glacier du monde, niché dans le Pamir et véritable château d’eau d’une Asie centrale menacée par la soif…",978-2234095618,https://m.media-amazon.com/images/I/81h5ChP5KhL._SY522_.jpg,Stock (29 janvier 2025),Recits de voyages
